ID,name,diffsee/pop,diffhear/pop,diffwalk/pop,diffmemo/pop,diffhyg/pop,diffunder/pop,par/pop,dip/pop,men/pop,hiv/pop,hv/pop,tum/pop,tummal/pop,tumlab/pop,tumeso/pop,tumest/pop,tumcol/pop,tumrec/pop,tumfig/pop,tumpan/pop,tumlar/pop,melpel/pop,tummam/pop,tumcolut/pop,tumute/pop,tumova/pop,tumpro/pop,tumrim/pop,tumbex/pop,tumtec/pop,sang/pop,endo/pop,dia/pop,ment/pop,mental/pop,drog/pop,nerv/pop,mengi/pop,circ/pop,cora/pop,card/pop,cere/pop,resp/pop,grip/pop,pneu/pop,cron/pop,asma/pop,dige/pop,ilc/pop,figa/pop,pele/pop,oste/pop,art/pop,geni/pop,rimur/pop,grav/pop,peri/pop,mfcrom/pop,mfnerv/pop,mfcirc/pop,sint/pop,mlact/pop,mdes/pop,lesen/pop,acid/pop,acidtr/pop,queda/pop,enven/pop,suic/pop,hom/pop,leso/pop
11E0405,Macedo de Cavaleiros,2.666479545,2.596309031,13.96393236,10.45540664,21.19149533,7.929268122,0.280682057,0,0,0.070170514,0,0.070170514,0.210511543,0.210511543,0,0.421023086,0.701705143,0.070170514,0.140341029,0.421023086,0.210511543,0.140341029,0.140341029,0,0.070170514,0,0.140341029,0,0.070170514,0.280682057,0.140341029,0,0.280682057,1.473580801,0,0.070170514,0.561364115,0,1.12272823,0.631534629,1.333239773,1.263069258,0.210511543,0,0.561364115,0.561364115,0,0.701705143,0.140341029,0.350852572,0.210511543,0,0,0.070170514,0.210511543,0,0,0,0,0,0.280682057,0,0.280682057,0.771875658,0.701705143,0.140341029,0,0.070170514,0.070170514,0,0
11E0406,Miranda do Douro,3.09453814,3.249265047,14.85378307,11.75924493,25.06575894,8.045799164,0.773634535,0,0,0,0,0,0,0,0,1.237815256,0.464180721,0.154726907,0,0.309453814,0.154726907,0,0.154726907,0,0,0,0.309453814,0,0,0.309453814,0,0.773634535,1.083088349,1.083088349,0,0,0.154726907,0,1.54726907,0.773634535,1.54726907,1.083088349,0.464180721,0,0.309453814,0.464180721,0,0.309453814,0,0.154726907,0.154726907,0,0,0.464180721,0.464180721,0,0,0,0,0,0.154726907,0,0.154726907,1.701995977,1.237815256,0.154726907,0.154726907,0,0.154726907,0,0.154726907
11E0407,Mirandela,2.291432847,2.104377104,12.25215114,10.42835765,21.04377104,7.248410026,0.046763936,0,0,0,0,0.093527871,0.701459035,0.046763936,0.140291807,0.187055743,0.514403292,0.374111485,0.093527871,0.187055743,0.607931163,0.093527871,0,0,0.046763936,0.093527871,0.374111485,0.046763936,0.046763936,0.32734755,0.046763936,0.046763936,0.74822297,0.982042649,0.046763936,0,0.701459035,0,0.935278713,0.561167228,1.169098391,1.07557052,0.374111485,0,0.32734755,0.233819678,0,0.374111485,0,0.093527871,0.093527871,0.140291807,0,0.280583614,0.32734755,0,0,0,0,0,0.187055743,0,0.32734755,0.607931163,0.514403292,0.046763936,0.046763936,0,0.046763936,0,0.046763936
11E0408,Mogadouro,1.927478617,3.614022407,13.37188291,10.60113239,22.52740634,8.43271895,0.120467414,0,0,0,0,0,0.481869654,0.120467414,0.120467414,0.602337068,0.240934827,0.240934827,0.240934827,0.240934827,0.481869654,0,0.361402241,0,0.120467414,0,0.240934827,0,0,0.120467414,0,0.361402241,0.963739309,1.084206722,0,0,0.843271895,0,1.68654379,0.963739309,0.843271895,2.168413444,0.602337068,0,0.602337068,0.240934827,0,0.602337068,0.120467414,0.120467414,0.361402241,0,0,0.240934827,0.361402241,0,0,0.120467414,0,0,0.361402241,0,0,1.445608963,1.204674136,0.481869654,0.120467414,0,0,0,0.120467414
11E0410,Vila Flor,2.479338843,2.644628099,17.02479339,12.89256198,33.55371901,8.099173554,0.495867769,0.165289256,0,0,0,0.165289256,0.495867769,0.165289256,0,0.330578512,0.495867769,0,0.330578512,0.165289256,0.495867769,0,,0,0,0,0.495867769,0,0,0.991735537,0,0.330578512,0.826446281,1.487603306,0,0,0.661157025,0,0.661157025,0.991735537,1.818181818,1.818181818,0.330578512,0,0.495867769,0.330578512,0,0.330578512,0,0.495867769,0.165289256,0,0,0,0.661157025,0,0,0,0,0,0.330578512,0,0.661157025,0.495867769,0.330578512,0.165289256,0,0,0.165289256,0,0
11E0411,Vimioso,1.446131598,2.41021933,14.94335985,7.471679923,21.69197397,6.025548325,0.723065799,0,0,0,0,0.482043866,1.205109665,0,0.241021933,0.723065799,0.723065799,0,0,0,0,0,0,0,0,0.241021933,0.241021933,0,0,0,0,0.482043866,0.482043866,0.964087732,0,0,0.482043866,0,1.687153531,0.964087732,0.964087732,2.169197397,2.169197397,0,0.964087732,0.723065799,0,0.723065799,0,0,0,0.241021933,0,0.241021933,0.482043866,0,0,0,0,0,0.482043866,0,0.482043866,0.723065799,0.723065799,0.241021933,0.482043866,0,0,0,0
11E0412,Vinhais,1.93099897,2.960865088,16.09165808,12.61585994,26.51905252,10.81359423,0.386199794,0.128733265,0,0,0,0.128733265,0.772399588,0,0.257466529,0.128733265,0,0.257466529,0.128733265,0.128733265,0.514933059,0,0.386199794,0,0,0,0.128733265,0.128733265,0,0,0.386199794,0.128733265,0.386199794,1.416065911,0,0,0.643666323,0,0.901132853,1.029866117,1.673532441,1.544799176,1.416065911,0,1.029866117,0.901132853,0,0.901132853,0,0.386199794,0.257466529,0,0,0.257466529,0.643666323,0,0,0,0,0,0,0,0.901132853,1.802265705,1.416065911,0.386199794,0.386199794,0,0,0,0.257466529
16B1001,Alcobaça,2.528882016,2.274174475,14.33639589,9.533339398,21.79568817,6.167561175,0.090966979,0,0,0,0.018193396,0.036386792,0.382061312,0.072773583,0.090966979,0.163740562,0.254707541,0.072773583,0.181933958,0.200127354,0.363867916,0.054580187,0.163740562,0,0.072773583,0.036386792,0.181933958,0.036386792,0.072773583,0.272900937,0.072773583,0.363867916,0.491221687,0.800509415,0.018193396,0,0.382061312,0,0.745929228,0.618575457,0.982443373,1.346311289,0.509415082,0.018193396,0.69134904,0.236514145,0.018193396,0.582188666,0.018193396,0.036386792,0.036386792,0,0.018193396,0.254707541,0.181933958,0,0.036386792,0,0,0,0.200127354,0,0.309287729,0.727735832,0.473028291,0.145547166,0.090966979,0.018193396,0.145547166,0,0.072773583
16B1101,Alenquer,2.092615094,2.070113856,10.62058413,6.862877458,15.88587372,4.680257414,0.09000495,0,0,0,0,0.045002475,0.382521039,0,0.022501238,0.112506188,0.112506188,0.112506188,0.045002475,0.09000495,0.360019801,0.067503713,0.180009901,0.045002475,0.045002475,0.067503713,0.202511138,0.067503713,0.045002475,0.247513613,0,0.315017326,0.270014851,0.495027226,0.022501238,0,0.652535889,0,0.630034652,1.057558166,0.472525989,1.282570541,0.247513613,0,0.112506188,0.157508663,0,0.360019801,0.022501238,0.09000495,0.067503713,0.09000495,0,0.247513613,0.135007425,0,0,0,0,0.022501238,0.067503713,0,0.720039602,0.450024751,0.337518564,0.135007425,0.112506188,0.022501238,0.067503713,0,0.045002475
16B1102,Arruda dos Vinhos,2.001143511,1.858204688,10.14865638,8.290451687,14.93710692,5.574614065,0.142938822,0,0,0,0,0,0.357347055,0.071469411,0.071469411,0.214408233,0.285877644,0.142938822,0.285877644,0.214408233,0.214408233,0.071469411,0.071469411,0,0,0.071469411,0.214408233,0,0,0.214408233,0.071469411,0.357347055,0.500285878,0.357347055,0,0,0.929102344,0,0.786163522,0.857632933,1.000571755,1.000571755,0.285877644,0,0.285877644,0,0.071469411,0.357347055,0,0.071469411,0,0,0.071469411,0.357347055,0.285877644,0,0,0,0,0,0.142938822,0,0.428816467,0.357347055,0.285877644,0.071469411,0,0.071469411,0.071469411,0,0
